# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

sink|go down below the surface of something, especially of a liquid;a fixed basin with a water supply and a drain
sir|a formal or polite term of address for a man
sister|a woman or girl who has one or both parents in common with another person
sit|adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet
site|an area of ground on which a town, building, or monument is constructed;a website
situation|a set of circumstances in which one finds oneself;a location and its surroundings
six|the number equivalent to the sum of three and three;6
size|the relative extent of something;a thing's overall dimensions or magnitude
ski|each of a pair of long, narrow runners attached to boots for traveling over snow
skill|the ability to do something well;expertise
skin|the thin layer of tissue forming the natural outer covering of the body of a person or animal
sky|the region of the atmosphere and outer space seen from the earth
slave|a person who is the legal property of another and is forced to obey them
sleep|a condition of body and mind which typically recurs for several hours every night, in which the nervous system is inactive
sleeve|the part of a garment that wholly or partly covers a person's arm
slice|a thin, broad piece of food, such as bread, meat, or cake, cut from a larger portion
slide|move along a smooth surface while maintaining continuous contact with it
slight|small in degree;inconsiderable
slightly|to a small degree;not considerably
slip|lose one's footing and slide unintentionally for a short distance;a small piece of paper
slow|moving or operating at a low speed;taking a long time
slowly|at a slow speed;not quickly
small|of a size that is less than normal or usual
smart|having or showing a quick-witted intelligence;clean, tidy, and well dressed
smell|the faculty or power of perceiving odors or scents by means of the organs in the nose
smile|form one's features into a pleased, kind, or amused expression, typically with the corners of the mouth turned up
smoke|a visible suspension of carbon or other particles in air, typically one emitted from a burning substance
smooth|having an even and regular surface or consistency;free from projections or indentations
snap|break or cause to break suddenly and completely, typically with a sharp cracking sound
snow|atmospheric water vapor frozen into ice crystals and falling in light white flakes
so|to such a great extent;and for this reason;therefore
socalled|commonly designated as such (often used to express the speaker's skepticism)
soccer|a game played by two teams of eleven players with a round ball that may not be touched with the hands or arms during play except by the goalkeepers
social|relating to society or its organization;needing companionship
society|the aggregate of people living together in a more or less ordered community
soft|easy to mold, cut, compress, or fold;not hard or firm to the touch
software|the programs and other operating information used by a computer
soil|the upper layer of earth in which plants grow, a black or dark brown material
solar|relating to or determined by the sun
soldier|a person who serves in an army
solid|firm and stable in shape;not liquid or fluid
solution|a means of solving a problem or dealing with a difficult situation;a liquid mixture in which a solute is uniformly distributed within a solvent
solve|find an answer to, explanation for, or means of effectively dealing with a problem
some|an unspecified amount or number of
somebody|some person;someone
somehow|in some way;by some means
someone|some person;somebody
something|a thing that is unspecified or unknown
sometimes|occasionally, rather than all of the time
somewhat|to a moderate extent or degree
somewhere|in or to some place
son|a boy or man in relation to either of his parents
song|a short poem or other set of words set to music or meant to be sung
soon|in or after a short time
sophisticated|having, revealing, or proceeding from a great deal of worldly experience and knowledge of fashion and culture
sorry|feeling distress, especially through sympathy with someone else's misfortune
sort|a category of things or people with a common feature;a type;arrange systematically in groups
soul|the spiritual or immaterial part of a human being or animal, regarded as immortal
sound|vibrations that travel through the air or another medium and can be heard when they reach a person's or animal's ear
soup|a liquid dish, typically made by boiling ingredients in stock or water
source|a place, person, or thing from which something comes or can be obtained
south|the direction toward the point of the horizon 90° clockwise from east, or the point on the horizon itself
southern|situated in or directed toward the south
soviet|of or concerning the former Soviet Union
space|a continuous area or expanse which is free, available, or unoccupied;the dimensions of height, depth, and width within which all things exist
spanish|relating to Spain or its people or language
speak|say something in order to convey information, an opinion, or a feeling
speaker|a person who speaks;a person who gives a speech at a formal occasion
special|better, greater, or otherwise different from what is usual
specialist|a person who concentrates primarily on a particular subject or activity;a person highly skilled in a specific and restricted field
species|a group of living organisms consisting of similar individuals capable of exchanging genes or interbreeding
specific|clearly defined or identified
specifically|in a way that is exact and clear;precisely
speech|the expression of or the ability to express thoughts and feelings by articulate sounds
speed|the rate at which someone or something is able to move or operate
spend|give money to pay for goods, services, or so as to benefit someone or something;pass time in a specified way
spending|the action of spending money;money paid out
spin|turn or cause to turn or whirl around quickly
spirit|the nonphysical part of a person which is the seat of emotions and character;the soul
spiritual|relating to or affecting the human spirit or soul as opposed to material or physical things
split|break or cause to break forcibly into parts, especially into halves or along the grain
spokesman|a person who makes statements on behalf of a group or individual
sport|an activity involving physical exertion and skill in which an individual or team competes against another or others for entertainment
spot|a small round or roundish mark, differing in color or texture from the surface around it;a particular place or point
spread|open out something so as to extend its surface area, width, or length
spring|the season after winter and before summer, in which vegetation begins to appear;move or jump suddenly upward or forward
square|a plane figure with four equal straight sides and four right angles
squeeze|firmly press something of a soft or yielding nature, typically with one's fingers
stability|the state of being stable
stable|of an object or structure, not likely to give way or overturn;firmly fixed;a building in which horses are kept
staff|all the people employed by a particular organization
stage|a point, period, or step in a process or development;a raised floor in a theater on which actors or entertainers perform
stair|a set of steps leading from one floor of a building to another, typically inside the building
stake|a strong wooden or metal post with a point at one end, driven into the ground to support something;a sum of money gambled
stand|have or maintain an upright position, supported by one's feet
standard|a level of quality or attainment;a required or agreed level of quality
standing|the position, status, or reputation of a person or group
star|a fixed luminous point in the night sky which is a large, remote incandescent body like the sun;a famous entertainer
stare|look fixedly or vacantly at someone or something with one's eyes wide open
start|begin or be reckoned from a particular point in time or space
state|the particular condition that someone or something is in at a specific time;a nation or territory considered as an organized political community
statement|a definite or clear expression of something in speech or writing
station|a place where a particular activity or service is based;a regular stopping place on a public transport route
statistics|the practice or science of collecting and analyzing numerical data in large quantities
status|the relative social, professional, or other standing of someone or something
stay|remain in the same place;remain in a specified state or position
steady|firmly fixed, supported, or balanced;not shaking or moving;regular and continuous
steal|take another person's property without permission and without intending to return it
steel|a hard, strong gray or bluish-gray alloy of iron with carbon and other elements, used extensively as a structural and fabricating material
step|lift and set down one's foot or one foot after the other in order to walk;a stage in a process
stick|a thin piece of wood that has fallen or been cut from a tree;adhere to a surface
still|not moving or making a sound;continuing to this time
stir|move a spoon or other implement around in a liquid in order to mix it
stock|the goods or merchandise kept on the premises of a business or warehouse and available for sale or distribution;shares of ownership in a corporation
stomach|the internal organ in which the major part of the digestion of food occurs
stone|hard solid nonmetallic mineral matter of which rock is made
stop|cause an action, process, or event to come to an end;cease moving
storage|the action or method of storing something for future use
store|a place where things are sold;a retail establishment;a quantity of something kept for use as needed
storm|a violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow
story|an account of imaginary or real people and events told for entertainment;a floor or level of a building
straight|extending or moving uniformly in one direction only;without a curve or bend;in proper order
strange|unusual or surprising in a way that is unsettling or difficult to understand
stranger|a person whom one does not know or with whom one is not familiar
strategic|relating to the identification of long-term or overall aims and interests and the means of achieving them
strategy|a plan of action designed to achieve a major or overall aim
stream|a small, narrow river;a continuous flow of liquid, air, or gas
street|a public road in a city or town, typically with houses and buildings on one or both sides
strength|the quality or state of being strong;the capacity of an object to withstand great force
strengthen|make or become stronger
stress|a state of mental or emotional strain or tension resulting from adverse or demanding circumstances;give particular emphasis to
stretch|straighten or extend one's body or a part of one's body to its full length
strike|hit forcibly and deliberately with one's hand or a weapon;a refusal to work organized by a body of employees
string|material consisting of threads of cotton or other material twisted together to form a thin cord
strip|remove all coverings from;a long, narrow piece of cloth, paper, plastic, or metal
stroke|an act of hitting or striking someone or something;a single movement of a pen or brush;a sudden disabling attack caused by interruption in the flow of blood to the brain
strong|having the power to move heavy weights or perform other physically demanding tasks
structure|the arrangement of and relations between the parts or elements of something complex
struggle|make forceful or violent efforts to get free of restraint or constriction
student|a person who is studying at a school or college
studio|a room where an artist, photographer, sculptor, etc., works;a room from which television or radio programs are broadcast
study|the devotion of time and attention to acquiring knowledge on an academic subject;a detailed investigation and analysis
stuff|matter, material, articles, or activities of a specified or indeterminate kind
stupid|having or showing a great lack of intelligence or common sense
style|a manner of doing something;a distinctive appearance, typically determined by the principles according to which something is designed
subject|a person or thing that is being discussed, described, or dealt with;a branch of knowledge studied
submit|accept or yield to a superior force or to the authority or will of another person;present a proposal for consideration
subsequent|coming after something in time;following
substance|a particular kind of matter with uniform properties
substantial|of considerable importance, size, or worth
succeed|achieve the desired aim or result
success|the accomplishment of an aim or purpose
successful|accomplishing a desired aim or result
successfully|in a way that accomplishes a desired aim or result
such|of the type previously mentioned;to so high a degree
sudden|occurring or done quickly and unexpectedly or without warning
suddenly|quickly and unexpectedly
sue|institute legal proceedings against a person or institution, typically for redress
suffer|experience or be subjected to something bad or unpleasant
sufficient|enough;adequate
sugar|a sweet crystalline substance obtained from various plants, especially sugar cane and sugar beet
suggest|put forward for consideration;cause one to think that something exists or is the case
suggestion|an idea or plan put forward for consideration
suicide|the action of killing oneself intentionally
suit|a set of outer clothes made of the same fabric and designed to be worn together;be convenient for or acceptable to
summer|the warmest season of the year, in the northern hemisphere from June to August and in the southern hemisphere from December to February
summit|the highest point of a hill or mountain;a meeting between heads of government
sun|the star around which the earth orbits
super|very good or pleasant;excellent
supply|make something needed or wanted available to someone;provide
support|bear all or part of the weight of;hold up;give assistance to
supporter|a person who approves of and encourages someone or something
suppose|assume that something is the case on the basis of evidence or probability but without proof
supposed|according to what is generally assumed or believed;intended to do something
supreme|strongest, most important, or most powerful;highest in authority
sure|completely confident that one is right;certain to happen
surely|used to express that one is certain of what one is saying
surface|the outside part or uppermost layer of something
surgery|the treatment of injuries or disorders of the body by incision or manipulation with instruments
surprise|an unexpected or astonishing event, fact, or thing
surprised|feeling or showing surprise
surprising|causing surprise;unexpected
surprisingly|in a way that causes surprise;unexpectedly
surround|be all around someone or something
survey|look closely at or examine someone or something;a general view, examination, or description
survival|the state or fact of continuing to live or exist, typically in spite of an accident, ordeal, or difficult circumstances
survive|continue to live or exist, especially in spite of danger or hardship
survivor|a person who survives, especially a person remaining alive after an event in which others have died
suspect|have an idea or impression of the existence, presence, or truth of something without certain proof;a person thought to be guilty of a crime
sustain|strengthen or support physically or mentally;undergo or suffer something unpleasant
swear|make a solemn statement or promise undertaking to do something;use offensive language
sweep|clean an area by brushing away dirt or litter
sweet|having the pleasant taste characteristic of sugar or honey;not salt, sour, or bitter
swim|propel the body through water by using the limbs, or move through water in this way
swing|move back and forth or from side to side while suspended or on an axis
switch|a device for making and breaking the connection in an electric circuit;change in direction, course, or position
symbol|a thing that represents or stands for something else, especially a material object representing something abstract
symptom|a physical or mental feature which is regarded as indicating a condition of disease
system|a set of things working together as parts of a mechanism or an interconnecting
table|a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working
tackle|the equipment required for a task or sport;make determined efforts to deal with a problem or person
tactic|an action or strategy carefully planned to achieve a specific end
tail|the hindmost part of an animal, especially when prolonged beyond the rest of the body
take|lay hold of something with one's hands;reach for and hold;carry or bring with one
tale|a fictitious or true narrative or story, especially one that is imaginatively recounted
talent|natural aptitude or skill
talk|speak in order to give information or express ideas or feelings;converse or communicate
tall|of great or more than average height, especially relative to width
tank|a large receptacle or container, typically for liquid or gas;a heavy armored fighting vehicle
tap|a device by which a flow of liquid or gas from a pipe or container can be controlled;strike with a quick light blow
tape|a narrow strip of material, typically used to hold or fasten something;a recording on magnetic tape
target|a person, object, or place selected as the aim of an attack;an objective or result toward which efforts are directed
task|a piece of work to be done or undertaken
taste|the sensation of flavor perceived in the mouth and throat on contact with a substance
tax|a compulsory contribution to state revenue, levied by the government on workers' income and business profits or added to the cost of some goods, services, and transactions
tea|a hot drink made by infusing the dried crushed leaves of the tea plant in boiling water
teach|impart knowledge to or instruct someone as to how to do something
teacher|a person who teaches, especially in a school
teaching|the occupation, profession, or work of a teacher;ideas or principles taught by an authority
team|a group of players forming one side in a competitive game or sport
tear|pull or rip something apart or to pieces with force;a drop of clear salty liquid secreted from the eyes
technical|of or relating to a particular subject, art, or craft, or its techniques;involving or concerned with applied and industrial sciences
technique|a way of carrying out a particular task, especially the execution or performance of an artistic work or a scientific procedure
technology|the application of scientific knowledge for practical purposes, especially in industry
teenager|a person aged from 13 to 19 years
telephone|a system for transmitting voices over a distance using wire or radio, by converting acoustic vibrations to electrical signals
telescope|an optical instrument designed to make distant objects appear nearer, containing an arrangement of lenses or curved mirrors
television|a system for transmitting visual images and sound that are reproduced on screens, chiefly used to broadcast programs for entertainment, information, and education
tell|communicate information, facts, or news to someone in spoken or written words
temperature|the degree or intensity of heat present in a substance or object, especially as expressed according to a comparative scale
temporary|lasting for only a limited period of time;not permanent
ten|the number equivalent to the sum of nine and one;10
tend|regularly or frequently behave in a particular way or have a certain characteristic
tendency|an inclination toward a particular characteristic or type of behavior
tennis|a game in which two or four players strike a ball with rackets over a net stretched across a court
tension|the state of being stretched tight;mental or emotional strain
tent|a portable shelter made of cloth, supported by one or more poles and stretched tight by cords attached to pegs driven into the ground
term|a word or phrase used to describe a thing or to express a concept;a fixed or limited period for which something is intended to last
terms|the conditions under which an action may be undertaken or an agreement made;the language used on a particular occasion
terrible|extremely or distressingly bad or serious
territory|an area of land under the jurisdiction of a ruler or state
terror|extreme fear
terrorism|the unlawful use of violence and intimidation, especially against civilians, in the pursuit of political aims
terrorist|a person who uses unlawful violence and intimidation, especially against civilians, in the pursuit of political aims
test|a procedure intended to establish the quality, performance, or reliability of something, especially before it is taken into widespread use
testify|give evidence as a witness in a law court
testimony|a formal written or spoken statement, especially one given in a court of law
testing|the action of taking a test or the process of being tested
text|a book or other written or printed work, regarded in terms of its content rather than its physical form
than|used to introduce the second element in a comparison
thank|express gratitude to someone, especially by saying "Thank you"
thanks|an expression of gratitude
that|used to identify a specific person or thing observed by the speaker or already mentioned
the|denoting one or more people or things already mentioned or assumed to be common knowledge
theater|a building or outdoor area in which plays and other dramatic performances are given
their|belonging to or associated with the people or things previously mentioned or easily identified
them|used as the object of a verb or preposition to refer to two or more people or things previously mentioned
theme|the subject of a talk, a piece of writing, a person's thoughts, or an exhibition;a topic
themselves|used as the object of a verb or preposition to refer to a group of people or things previously mentioned as the subject of the clause
then|at that time;at the time in question;after that
theory|a supposition or a system of ideas intended to explain something, especially one based on general principles independent of the thing to be explained
therapy|treatment intended to relieve or heal a disorder
there|in, at, or to that place or position
therefore|for that reason;consequently
these|plural of this;used to identify a specific group of people or things close at hand
they|used to refer to two or more people or things previously mentioned or easily identified
thick|with opposite sides or surfaces that are a great or specified distance apart
thin|with opposite sides or surfaces that are close together;having little flesh or fat
thing|an object that one need not, cannot, or does not wish to give a specific name to
think|have a particular opinion, belief, or idea about someone or something
thinking|the process of using one's mind to consider or reason about something
third|constituting number three in a sequence;3rd
thirty|the number equivalent to the product of three and ten;30
this|used to identify a specific person or thing close at hand or being indicated or experienced
those|plural of that;used to identify a specific group of people or things observed by the speaker
though|despite the fact that;although;however
thought|an idea or opinion produced by thinking or occurring suddenly in the mind
thousand|the number equivalent to the product of a hundred and ten;1,000
threat|a statement of an intention to inflict pain, injury, damage, or other hostile action on someone
threaten|state one's intention to take hostile action against someone in retribution for something done or not done
three|the number equivalent to the sum of one and two;3
throat|the passage which leads from the back of the mouth of a person or animal
through|moving in one side and out of the other side of an opening, channel, or location
throughout|in every part of a place or object;all the way through
throw|propel something with force through the air by a movement of the arm and hand
thus|as a result or consequence of this;therefore;in this way
ticket|a piece of paper or small card that gives the holder a certain right, as to enter a place, travel by public transport, or participate in an event
tie|attach or fasten with string or a similar cord;a strip of material worn around the collar of a shirt
tight|fixed, fastened, or closed firmly;hard to move, undo, or open
time|the indefinite continued progress of existence and events in the past, present, and future regarded as a whole
tiny|very small
tip|the pointed or rounded end or extremity of something slender or tapering;a small extra sum of money given to someone for performing a service
tire|a rubber covering, typically inflated, that is fitted around a wheel to form a soft contact with the road;feel or cause to feel in need of rest or sleep
tired|in need of sleep or rest;weary
tissue|any of the distinct types of material of which animals or plants are made, consisting of specialized cells and their products
title|the name of a book, composition, or other artistic work;a name that describes someone's position or job
to|expressing motion in the direction of a particular location
tobacco|a preparation of the nicotine-rich leaves of an American plant, which are cured by a process of drying and fermentation for smoking or chewing
today|on or in the course of this present day
toe|any of the five digits at the end of the human foot
together|with or in proximity to another person or people;at the same time
toilet|a fixed receptacle with a water supply and a flushing mechanism, into which one may urinate or defecate
tomato|a glossy red, or occasionally yellow, pulpy edible fruit that is eaten as a vegetable or in salad
tomorrow|on the day after today
tone|a musical or vocal sound with reference to its pitch, quality, and strength;the general character or attitude of a place or piece of writing
tongue|the fleshy muscular organ in the mouth of a mammal, used for tasting, licking, swallowing, and articulating speech
tonight|on the present evening or night
too|to a higher degree than is desirable, permissible, or possible;excessively;also
tool|a device or implement, especially one held in the hand, used to carry out a particular function
tooth|each of a set of hard, bony enamel-coated structures in the jaws of most vertebrates, used for biting and chewing
top|the highest or uppermost point, part, or surface of something
topic|a matter dealt with in a text, discourse, or conversation;a subject
total|comprising the whole number or amount
totally|completely;absolutely
touch|come into or be in contact with
tough|of a substance or object, strong enough to withstand adverse conditions or rough handling;difficult
tour|a journey for pleasure in which several different places are visited
tourist|a person who is traveling or visiting a place for pleasure
tournament|a series of contests between a number of competitors for a prize
toward|in the direction of;approaching
towel|a piece of absorbent cloth or paper used for drying oneself or wiping things dry
tower|a tall, narrow building, either free-standing or forming part of a building such as a church or castle
town|a built-up area with a name, defined boundaries, and local government, that is larger than a village and generally smaller than a city
toy|an object for a child to play with, typically a model or miniature replica of something
trace|find or discover by investigation;a mark or other indication of the existence of something
track|a rough path or road, typically one made by the passage of people or vehicles;a continuous line of rails on a railroad
trade|the action of buying and selling goods and services
tradition|the transmission of customs or beliefs from generation to generation, or the fact of being passed on in this way
traditional|existing in or as part of a tradition;long-established
traffic|vehicles moving on a road or public highway
tragedy|an event causing great suffering, destruction, and distress, such as a serious accident, crime, or natural catastrophe
trail|a mark or a series of signs or objects left behind by the passage of someone or something
train|a series of railroad cars moved as a unit by a locomotive or propelled by its own motors;teach a person a particular skill
training|the action of teaching a person or animal a particular skill or type of behavior
transfer|move from one place to another;an act of moving something or someone to another place
transform|make a thorough or dramatic change in the form, appearance, or character of
transformation|a thorough or dramatic change in form or appearance
transition|the process or a period of changing from one state or condition to another
translate|express the sense of words or text in another language
transportation|the action of transporting someone or something or the process of being transported
travel|make a journey, typically of some length or abroad
treat|behave toward or deal with in a certain way;give medical care to
treatment|medical care given to a patient for an illness or injury
treaty|a formally concluded and ratified agreement between countries
tree|a woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground
tremendous|very great in amount, scale, or intensity
trend|a general direction in which something is developing or changing
trial|a formal examination of evidence before a judge, and typically a jury, in order to decide guilt in a case of criminal or civil proceedings
tribe|a social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties
trick|a cunning or skillful act or scheme intended to deceive or outwit someone
trip|a journey or excursion, especially for pleasure
troop|a group of soldiers, especially a cavalry unit or armored unit
trouble|difficulty or problems
truck|a large, heavy motor vehicle used for transporting goods, materials, or troops
true|in accordance with fact or reality
truly|in a truthful way;to the fullest extent
trust|firm belief in the reliability, truth, ability, or strength of someone or something
truth|that which is true or in accordance with fact or reality
try|make an attempt or effort to do something
tube|a long, hollow cylinder of metal, plastic, glass, etc., for conveying liquids or gases
tunnel|an artificial underground passage, especially one built through a hill or under a building, road, or river
turn|move in a circular direction wholly or partly around an axis or point;a bend in a road or river
tv|television
twelve|the number equivalent to the sum of ten and two;12
twenty|the number equivalent to the product of two and ten;20
twice|two times;on two occasions
two|equivalent to the sum of one and one;2
type|a category of people or things having common characteristics;write on a typewriter or computer
typical|having the distinctive qualities of a particular type of person or thing
typically|in most cases;usually
ugly|unpleasant or repulsive, especially in appearance
ultimate|being or happening at the end of a process;final;the best achievable or imaginable of its kind
ultimately|in the end;finally;at the most basic level
umbrella|a device consisting of a circular canopy of cloth on a folding metal frame, used as protection against rain
unable|lacking the skill, means, or opportunity to do something
uncle|the brother of one's father or mother or the husband of one's aunt
uncomfortable|causing or feeling slight pain or physical discomfort;uneasy or awkward
under|extending or directly below;at a lower level than
undergo|experience or be subjected to something, typically something unpleasant or arduous
understand|perceive the intended meaning of words, a language, or a speaker;comprehend
understanding|the ability to understand something;comprehension;a person's judgment of a situation
unfortunately|it is unfortunate that;regrettably
uniform|remaining the same in all cases and at all times;unchanging in form or character;the distinctive clothing worn by members of the same organization
union|the action or fact of joining or being joined, especially in a political context;a trade union
unique|being the only one of its kind;unlike anything else
unit|an individual thing or person regarded as single and complete but which can also form an individual component of a larger whole
unite|come or bring together for a common purpose or action
united|joined together politically, for a common purpose, or by common feelings
universal|of, affecting, or done by all people or things in the world or in a particular group;applicable to all cases
universe|all existing matter and space considered as a whole;the cosmos
university|a high-level educational institution in which students study for degrees and academic research is done
unknown|not known or familiar
unless|except if (used to introduce a case in which a statement being made is not true or valid)
unlike|different from;not like
unlikely|not likely to happen, be done, or be true;improbable
until|up to the point in time or the event mentioned
unusual|not habitually or commonly occurring or done;remarkable or interesting because different from or better than others
up|toward a higher place or position
upon|more formal term for on
upper|situated above another part;higher in position or status
urban|in, relating to, or characteristic of a town or city
urge|a strong desire or impulse;try earnestly or persistently to persuade someone to do something
us|used by a speaker to refer to themself and one or more other people as the object of a verb or preposition
use|take, hold, or deploy something as a means of accomplishing a purpose or achieving a result;the action of using something
used|having been previously owned or used;accustomed to
useful|able to be used for a practical purpose or in several ways;helpful
user|a person who uses or operates something, especially a computer or other machine
usual|habitually or typically occurring or done;customary
usually|under normal conditions;generally
utility|the state of being useful, profitable, or beneficial;a public service such as electricity or water
vacation|an extended period of leisure and recreation, especially one spent away from home or in traveling;a holiday
valley|a low area of land between hills or mountains, typically with a river or stream flowing through it
valuable|worth a great deal of money;extremely useful or important
value|the regard that something is held to deserve;the importance, worth, or usefulness of something;estimate the monetary worth of
van|a medium-sized motor vehicle, typically with no side windows in the rear part, for transporting goods
variation|a change or difference in condition, amount, or level, typically with certain limits
variety|the quality or state of being different or diverse;the absence of uniformity or monotony;a particular type of something
various|different from one another;of different kinds or sorts
vary|differ in size, amount, degree, or nature from something else of the same general class
vast|of very great extent or quantity;immense;huge
vegetable|a plant or part of a plant used as food, such as a cabbage, potato, turnip, or bean
vehicle|a thing used for transporting people or goods, especially on land, such as a car, truck, or cart
venture|a risky or daring journey or undertaking;dare to do something or go somewhere that may be dangerous or unpleasant
version|a particular form of something differing in certain respects from an earlier form or other forms of the same type of thing
versus|against (especially in sporting and legal use);in contrast to
very|in a high degree;extremely
vessel|a ship or large boat;a hollow container, especially one used to hold liquid such as a bowl or cask
veteran|a person who has had long experience in a particular field;a person who has served in the military
via|traveling through a place en route to a destination;by way of
victim|a person harmed, injured, or killed as a result of a crime, accident, or other event or action
victory|an act of defeating an enemy or opponent in a battle, game, or other competition
video|the recording, reproducing, or broadcasting of moving visual images
view|the ability to see something or to be seen from a particular place;a particular way of considering a matter;a sight or prospect
viewer|a person who looks at or watches something
village|a group of houses and associated buildings, larger than a hamlet and smaller than a town, situated in a rural area
violation|the action of violating someone or something;a breach of a rule or law
violence|behavior involving physical force intended to hurt, damage, or kill someone or something
violent|using or involving physical force intended to hurt, damage, or kill someone or something
virtually|nearly;almost
virtue|behavior showing high moral standards;a quality considered morally good or desirable
virus|an infective agent that typically consists of a nucleic acid molecule in a protein coat, is too small to be seen by light microscopy, and is able to multiply only within the living cells of a host
visible|able to be seen
vision|the faculty or state of being able to see;the ability to think about or plan the future with imagination or wisdom
visit|go to see and spend time with someone socially;go to a place as a tourist
visitor|a person visiting someone or somewhere, especially socially or as a tourist
visual|relating to seeing or sight
vital|absolutely necessary or important;essential;full of energy
voice|the sound produced in a person's larynx and uttered through the mouth, as speech or song
volume|the amount of space that a substance or object occupies;a book forming part of a work or series
volunteer|a person who freely offers to take part in an enterprise or undertake a task
vote|a formal indication of a choice between two or more candidates or courses of action, expressed typically through a ballot or a show of hands
voter|a person who votes or has the right to vote at an election
vulnerable|susceptible to physical or emotional attack or harm
wage|a fixed regular payment, typically paid on a daily or weekly basis, made by an employer to an employee
wait|stay where one is or delay action until a particular time or until something else happens
wake|emerge or cause to emerge from a state of sleep;stop sleeping
walk|move at a regular pace by lifting and setting down each foot in turn, never having both feet off the ground at once
wall|a continuous vertical brick or stone structure that encloses or divides an area of land
wander|walk or move in a leisurely, casual, or aimless way
want|have a desire to possess or do something;wish for
war|a state of armed conflict between different nations or states or different groups within a nation or state
warm|of or at a fairly or comfortably high temperature
warn|inform someone in advance of a possible danger, problem, or other unpleasant situation
warning|a statement or event that indicates a possible or impending danger, problem, or other unpleasant situation
wash|clean with water and, typically, soap or detergent
waste|use or expend carelessly, extravagantly, or to no purpose;unwanted or unusable material
watch|look at or observe attentively over a period of time;a small timepiece worn typically on a strap on one's wrist
water|a colorless, transparent, odorless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms
wave|move one's hand to and fro in greeting or as a signal;a long body of water curling into an arched form and breaking on the shore
way|a method, style, or manner of doing something;a road, track, or path for traveling along
we|used by a speaker to refer to themself and one or more other people considered together
weak|lacking the power to perform physically demanding tasks;lacking physical strength and energy
weakness|the state or condition of being weak;a disadvantage or fault
wealth|an abundance of valuable possessions or money
wealthy|having a great deal of money, resources, or assets;rich
weapon|a thing designed or used for inflicting bodily harm or physical damage
wear|have something on one's body as clothing, decoration, or protection
weather|the state of the atmosphere at a place and time as regards heat, dryness, sunshine, wind, rain, etc.
web|a network of fine threads constructed by a spider;the World Wide Web
website|a set of related web pages located under a single domain name, typically produced by a single person or organization
wedding|a marriage ceremony, especially one considered as including the associated celebrations
week|a period of seven days
weekend|Saturday and Sunday, especially regarded as a time for leisure
weekly|done, produced, or occurring once a week
weigh|find out how heavy someone or something is, typically using scales
weight|the heaviness of a person or thing
welcome|a greeting or reception;an instance or manner of greeting someone
welfare|the health, happiness, and fortunes of a person or group
well|in a good or satisfactory way;in good health;a shaft sunk into the ground to obtain water, oil, or gas
west|the direction toward the point of the horizon where the sun sets at the equinoxes, on the left-hand side of a person facing north
western|situated in, directed toward, or facing the west
wet|covered or saturated with water or another liquid
what|asking for information specifying something
whatever|it doesn't matter what;anything or everything
wheel|a circular object that revolves on an axle and is fixed below a vehicle or other object to enable it to move easily over the ground
when|at what time;at the time that
whenever|at whatever time;on whatever occasion
where|in or to what place or position
whereas|in contrast or comparison with the fact that
wherever|in or to whatever place
whether|expressing a doubt or choice between alternatives
which|asking for information specifying one or more people or things from a definite set
while|a period of time;during the time that
whisper|speak very softly using one's breath without one's vocal cords
white|of the color of milk or fresh snow, due to the reflection of all visible rays of light
who|what or which person or people
whole|all of;entire
whom|used instead of 'who' as the object of a verb or preposition
whose|belonging to or associated with which person
why|for what reason or purpose
wide|of great or more than average width
widely|over a wide area or range;by a large number of people
wife|a married woman considered in relation to her spouse
wild|of an animal or plant, living or growing in the natural environment;not domesticated or cultivated
will|expressing the future tense;expressing a desire or intention;a person's desire or determination
willing|ready, eager, or prepared to do something
win|be successful or victorious in a contest or conflict
wind|the perceptible natural movement of the air;turn or cause to turn in a circle
window|an opening in the wall or roof of a building or vehicle, fitted with glass or other transparent material in a frame to admit light or air and allow people to see out
wine|an alcoholic drink made from fermented grape juice
wing|the modified forelimb of a bird or bat, which enables it to fly;a part of a large building
winner|a person or thing that wins something
winter|the coldest season of the year, in the northern hemisphere from December to February and in the southern hemisphere from June to August
wipe|clean or dry something by rubbing its surface with a cloth, a piece of paper, or one's hand
wire|metal drawn out into a thin flexible thread or rod
wisdom|the quality of having experience, knowledge, and good judgment
wise|having or showing experience, knowledge, and good judgment
wish|feel or express a strong desire or hope for something that is not easily attainable
with|accompanied by;having or possessing
withdraw|remove or take away something from a particular place;leave a place
within|inside a person, place, or organization
without|not having or including something;in the absence of
witness|a person who sees an event, typically a crime or accident, take place
woman|an adult human female
wonder|a feeling of surprise mingled with admiration, caused by something beautiful, unexpected, or inexplicable;desire to know something
wonderful|inspiring delight, pleasure, or admiration;extremely good;marvelous
wood|the hard fibrous material forming the main substance of the trunk or branches of a tree or shrub
wooden|made of wood
word|a single distinct meaningful element of speech or writing, used with others to form a sentence
work|activity involving mental or physical effort done in order to achieve a purpose or result;a person's place of employment
